,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
28,Guerrero Negro,27.9769,-114.0611,56.48,79,16,14.61,MX,1613020461
29,Busselton,-33.65,115.3333,68.0,63,78,5.99,AU,1613020461
30,Bilibino,68.0546,166.4372,-6.97,84,94,1.97,RU,1613020461
31,Avarua,-21.2078,-159.775,82.4,74,20,2.3,CK,1613020185
32,Castro,-24.7911,-50.0119,60.78,96,100,6.69,BR,1613020462
33,Jamestown,42.097,-79.2353,18.0,86,90,4.61,US,1613020462
34,Port Elizabeth,-33.918,25.5701,71.6,94,75,4.61,ZA,1613020168
35,Kibaya,-5.3,36.5667,60.21,100,100,0.78,TZ,1613020462
36,Dharampur,20.5333,73.1833,86.2,14,96,3.42,IN,1613020462
37,Cap Malheureux,-19.9842,57.6142,84.0,65,42,8.01,MU,1613020462
38,Sistranda,63.7256,8.834,15.8,86,20,16.11,NO,1613020462
39,Atherton,53.5237,-2.4935,28.99,62,0,3.0,GB,1613020463
40,Tocopilla,-22.092,-70.1979,66.81,69,25,3.31,CL,1613020463
41,Myitkyina,25.3833,97.4,83.46,26,10,1.97,MM,1613020463
42,Khatanga,71.9667,102.5,-22.16,83,2,3.94,RU,1613020463
43,Hilo,19.7297,-155.09,71.6,68,20,7.43,US,1613020320
44,Makakilo City,21.3469,-158.0858,73.4,56,90,3.44,US,1613020309
45,Stornoway,58.2093,-6.3865,30.2,69,0,8.05,GB,1613020464
46,Sakaiminato,35.55,133.2333,55.4,44,40,10.36,JP,1613020464
47,Te Anau,-45.4167,167.7167,55.72,63,98,6.85,NZ,1613020465
48,Pisco,-13.7,-76.2167,71.6,78,0,5.75,PE,1613020465
49,Lebu,-37.6167,-73.65,58.77,97,12,8.84,CL,1613020465
50,Santa Cruz Cabrália,-16.2781,-39.0247,71.6,94,0,3.44,BR,1613020465
51,Bor,56.3567,44.0669,5.0,78,75,6.71,RU,1613020466
52,East London,-33.0153,27.9116,71.6,94,0,6.91,ZA,1613020466
53,Santa Cruz del Norte,23.1539,-81.9236,73.4,94,20,4.61,CU,1613020322
54,Punta Arenas,-53.15,-70.9167,55.4,88,90,9.22,CL,1613020466
55,North Bend,43.4065,-124.2243,46.0,93,1,5.1,US,1613020466
56,Ostrovnoy,68.0531,39.5131,2.07,92,8,12.86,RU,1613020466
57,Esperance,-33.8667,121.9,66.2,55,90,17.27,AU,1613020209
58,Puerto Ayora,-0.7393,-90.3518,75.0,99,85,5.5,EC,1613020306
59,Coahuayana Viejo,18.7333,-103.6833,66.51,88,2,1.77,MX,1613020467
60,Yaroslavl,57.6299,39.8737,-7.6,84,75,6.71,RU,1613020467
61,Qaqortoq,60.7167,-46.0333,33.8,27,20,31.07,GL,1613020412
62,Along,28.1667,94.7667,77.22,28,36,0.76,IN,1613020467
63,Saint George,37.1041,-113.5841,52.0,43,1,3.18,US,1613020338
64,Kaitangata,-46.2817,169.8464,55.99,67,100,17.0,NZ,1613020468
65,Sioux Lookout,50.1001,-91.917,-25.6,75,75,2.51,CA,1613020336
66,Nikolskoye,59.7035,30.7861,6.8,78,75,4.47,RU,1613020468
67,Sørland,67.667,12.6934,31.87,97,96,14.74,NO,1613020314
68,Atuona,-9.8,-139.0333,78.44,79,1,17.6,PF,1613020469
69,Nevel'sk,46.6733,141.8633,28.4,50,40,13.42,RU,1613020469
70,San Patricio,28.017,-97.5169,55.4,94,90,10.36,US,1613020469
71,Perelyub,51.8667,50.3667,16.74,97,100,3.94,RU,1613020469
72,Eureka,40.8021,-124.1637,44.01,92,86,3.62,US,1613020470
73,Mar del Plata,-38.0023,-57.5575,68.0,88,90,16.11,AR,1613020206
74,Klaksvík,62.2266,-6.589,26.6,86,75,1.14,FO,1613020470
75,Chui,-33.6971,-53.4616,69.06,90,83,10.78,UY,1613020470
76,Tiksi,71.6872,128.8694,-12.75,88,15,1.99,RU,1613020470
77,Vila Franca do Campo,37.7167,-25.4333,59.0,72,20,29.93,PT,1613020470
78,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,1,16.11,CA,1613020173
79,Shipunovo,52.1582,82.2173,-14.98,86,92,0.87,RU,1613020471
80,Tongzi,28.7829,105.0877,59.22,62,83,4.12,CN,1613020471
81,Hastings,50.8552,0.5729,28.0,78,66,1.99,GB,1613020471
82,Constantine,36.365,6.6147,42.8,81,20,9.22,DZ,1613020471
83,Kholtoson,50.2981,103.3097,12.24,90,100,3.6,RU,1613020472
84,Humaitá,-7.5061,-63.0208,73.47,99,100,2.39,BR,1613020472
85,George Town,5.4112,100.3354,89.01,83,40,2.39,MY,1613020212
86,Bredasdorp,-34.5322,20.0403,55.4,94,3,3.44,ZA,1613020181
87,Ilulissat,69.2167,-51.1,14.0,67,90,14.97,GL,1613020187
88,Papayal,-4.0761,-80.7361,75.92,72,94,0.65,PE,1613020473
89,Dodge City,37.7528,-100.0171,9.0,78,1,10.36,US,1613020359
90,Tulsīpur,28.131,82.2973,70.0,90,0,5.1,NP,1613020473
91,Kruisfontein,-34.0033,24.7314,71.01,90,14,3.0,ZA,1613020473
92,Pahrump,36.2083,-115.9839,53.01,42,0,3.0,US,1613020474
93,Dulag,10.9525,125.0317,82.09,81,16,8.12,PH,1613020474
94,Cherskiy,68.75,161.3,-15.07,88,0,4.18,RU,1613020474
95,Tasiilaq,65.6145,-37.6368,12.2,48,81,6.91,GL,1613020192
96,Provideniya,64.3833,-173.3,-11.2,64,0,20.13,RU,1613020475
97,Alofi,-19.0595,-169.9187,84.2,74,100,8.05,NU,1613020475
98,Vaini,-21.2,-175.2,82.4,83,20,10.36,TO,1613020475
99,Thompson,55.7435,-97.8558,-32.8,75,1,5.37,CA,1613020476
100,Shestakovo,56.4915,103.96,8.38,91,100,4.9,RU,1613020476
101,Coyhaique,-45.5752,-72.0662,68.0,52,0,3.44,CL,1613020306
102,Basoko,1.2391,23.616,71.89,54,100,2.33,CD,1613020477
103,Naze,28.3667,129.4833,62.6,77,75,20.71,JP,1613020478
104,Siguiri,11.6667,-9.5,70.84,22,34,2.59,GN,1613020478
105,Tādepallegūdem,16.8333,81.5,81.77,48,81,4.03,IN,1613020478
106,Asău,46.4333,26.4,35.01,72,93,3.29,RO,1613020478
107,Albany,42.6001,-73.9662,23.0,46,100,1.88,US,1613020479
108,Ancud,-41.8697,-73.8203,64.0,88,0,3.44,CL,1613020480
109,Rayevskiy,54.0658,54.9468,5.77,94,100,5.66,RU,1613020214
110,Cabo San Lucas,22.8909,-109.9124,63.0,72,1,3.44,MX,1613020400
111,Santa Isabel,-23.3156,-46.2214,66.0,100,40,2.3,BR,1613020481
112,Makkah al Mukarramah,21.4267,39.8261,75.06,48,1,2.98,SA,1613020449
113,Ahipara,-35.1667,173.1667,66.45,70,74,11.32,NZ,1613020334
114,Mahébourg,-20.4081,57.7,84.0,65,85,8.01,MU,1613020482
115,Nyurba,63.2842,118.3319,-9.8,89,100,2.84,RU,1613020252
116,Bethel,41.3712,-73.414,25.0,74,90,1.28,US,1613020482
117,Nome,64.5011,-165.4064,-14.8,58,1,5.75,US,1613020337
118,Monze,-16.2833,27.4833,65.66,94,100,3.15,ZM,1613020390
119,Hithadhoo,-0.6,73.0833,82.0,80,23,12.3,MV,1613020369
120,Abhā,18.2164,42.5053,50.0,76,0,3.11,SA,1613020483
121,Jizan,17.3333,42.6667,73.4,88,0,4.61,SA,1613020484
122,Yulara,-25.2406,130.9889,95.0,38,40,11.5,AU,1613020484
123,Leningradskiy,69.3833,178.4167,-28.86,82,0,4.12,RU,1613020424
124,Ardeşen,41.1911,40.9875,48.2,81,0,4.61,TR,1613020484
125,Dikson,73.5069,80.5464,-22.79,86,1,3.6,RU,1613020484
126,Hamilton,39.1834,-84.5333,21.99,79,90,12.66,US,1613020328
127,Dunedin,-45.8742,170.5036,57.99,66,75,25.99,NZ,1613020484
128,Arraial do Cabo,-22.9661,-42.0278,73.4,82,78,3.11,BR,1613020485
129,Ormara,25.2088,64.6357,76.41,37,100,5.77,PK,1613020485
130,Calabozo,8.9242,-67.4293,73.29,64,2,8.59,VE,1613020485
131,Henties Bay,-22.116,14.2845,68.0,91,88,5.12,NA,1613020485
132,Ponta do Sol,32.6667,-17.1,60.8,77,20,3.44,PT,1613020303
133,San Andrés,12.5847,-81.7006,80.6,69,20,6.91,CO,1613020485
134,Lavrentiya,65.5833,-171.0,-27.29,79,0,9.51,RU,1613020485
135,Saint-Philippe,-21.3585,55.7679,84.99,61,75,9.22,RE,1613020486
136,Hirara,24.8,125.2833,71.6,94,75,28.77,JP,1613020486
137,Malakanagiri,18.35,81.9,86.02,26,18,1.86,IN,1613020486
138,Kesinga,20.2,83.2333,82.49,26,9,3.02,IN,1613020486
139,Ta Khmau,11.4833,104.95,82.4,61,75,6.91,KH,1613020486
140,Norman,35.2226,-97.4395,19.4,86,90,14.85,US,1613020486
141,Lázaro Cárdenas,17.9583,-102.2,71.53,83,7,3.38,MX,1613020487
142,Olafsvik,64.8945,-23.7142,35.49,87,100,18.72,IS,1613020246
143,Hienghène,-20.6833,164.9333,79.93,68,39,1.74,NC,1613020487
144,Mount Gambier,-37.8333,140.7667,95.0,24,100,12.66,AU,1613020487
145,Pāsighāt,28.0667,95.3333,78.67,23,3,3.8,IN,1613020487
146,Ejura,7.3856,-1.3562,74.64,88,1,3.78,GH,1613020487
147,Khandwa,21.8333,76.3333,78.37,18,100,5.86,IN,1613020488
148,Chokurdakh,70.6333,147.9167,-13.83,88,34,7.67,RU,1613020489
149,Sur,22.5667,59.5289,75.61,52,96,5.84,OM,1613020475
150,Mezen',65.8522,44.24,-8.61,91,79,5.23,RU,1613020490
151,Chapais,49.7834,-74.8492,-13.0,84,75,3.44,CA,1613020490
152,Kendari,-3.945,122.4989,88.54,62,34,6.22,ID,1613020490
153,Indramayu,-6.3264,108.32,83.59,73,100,7.38,ID,1613020490
154,Hualmay,-11.0964,-77.6139,73.08,69,90,4.32,PE,1613020234
155,Ribeira Grande,38.5167,-28.7,59.77,65,33,25.88,PT,1613020491
156,Cayenne,4.9333,-52.3333,75.2,100,75,9.22,GF,1613020343
157,Aksu,41.1231,80.2644,45.3,49,4,2.39,CN,1613020491
158,Bengkulu,-3.8004,102.2655,84.94,61,11,6.2,ID,1613020491
159,Longyearbyen,78.2186,15.6401,5.0,66,75,19.57,SJ,1613020492
160,Kemijärvi,66.7131,27.4306,6.17,94,88,3.53,FI,1613020492
161,Mount Isa,-20.7333,139.5,96.8,36,75,11.5,AU,1613020199
162,Butaritari,3.0707,172.7902,81.73,77,100,14.54,KI,1613020492
163,Oliver,49.1831,-119.5524,15.8,53,11,12.66,CA,1613020492
164,Katsuura,35.1333,140.3,55.99,30,20,19.57,JP,1613020470
165,Talnakh,69.4865,88.3972,-16.51,82,1,2.46,RU,1613020493
166,Saskylakh,71.9167,114.0833,-20.92,84,0,6.31,RU,1613020341
167,Port-Gentil,-0.7193,8.7815,81.88,79,99,5.21,GA,1613020345
168,Sitka,57.0531,-135.33,21.2,53,1,3.44,US,1613020493
169,Charagua,-19.8,-63.2167,61.16,92,100,2.37,BO,1613020270
170,Saint-Hyacinthe,45.6168,-72.9491,10.4,78,75,3.31,CA,1613020494
171,Maniitsoq,65.4167,-52.9,14.58,86,0,3.78,GL,1613020494
172,Vila Velha,-20.3297,-40.2925,75.2,94,75,3.44,BR,1613020494
173,Calamar,10.2511,-74.9146,78.8,83,0,8.05,CO,1613020495
174,Faanui,-16.4833,-151.75,81.81,71,2,18.9,PF,1613020495
175,Mocoa,1.1493,-76.6466,71.47,74,100,3.91,CO,1613020495
176,Mossamedes,-15.1961,12.1522,72.19,75,100,3.11,AO,1613020496
177,Bara,10.3744,10.7288,62.53,26,0,5.88,NG,1613020496
178,Goranboy,40.6103,46.7897,51.8,100,90,3.44,AZ,1613020496
179,Buraidah,26.326,43.975,48.2,100,0,2.3,SA,1613020497
180,La Rioja,42.25,-2.5,39.2,93,75,5.06,ES,1613020497
181,Tazmalt,36.3868,4.3989,47.82,80,30,4.05,DZ,1613020498
182,Karratha,-20.7377,116.8463,93.7,46,15,10.65,AU,1613020498
183,Aklavik,68.2191,-135.0107,-25.6,75,20,6.91,CA,1613020334
184,Kaka,37.3482,59.6143,52.7,53,49,8.57,TM,1613020498
185,Beringovskiy,63.05,179.3167,-23.78,85,78,14.47,RU,1613020499
186,Norman Wells,65.282,-126.8329,-16.6,76,20,6.91,CA,1613020500
187,Diplo,24.4667,69.584,78.8,16,74,5.68,PK,1613020500
188,Poum,-20.2333,164.0167,79.5,74,8,15.93,NC,1613020501
189,Gushikawa,26.3544,127.8686,64.4,88,90,21.85,JP,1613020502
190,Yokadouma,3.5167,15.05,67.01,78,57,0.74,CM,1613020275
191,Jacareacanga,-6.2222,-57.7528,72.41,97,96,1.34,BR,1613020503
192,Torbay,47.6666,-52.7314,21.0,73,75,25.32,CA,1613020505
193,Pāli,25.7667,73.3333,79.95,16,23,5.28,IN,1613020505
194,Hambantota,6.1241,81.1185,82.4,69,40,6.91,LK,1613020247
195,Port Alfred,-33.5906,26.891,73.99,94,25,6.55,ZA,1613020506
196,Willowmore,-33.2926,23.4895,66.34,77,10,8.14,ZA,1613020506
197,Zhigalovo,54.8097,105.1578,9.37,90,100,2.3,RU,1613020507
198,Krosno,49.6887,21.7706,17.01,96,100,12.59,PL,1613020509
199,Harlingen,26.1906,-97.6961,73.0,100,90,13.8,US,1613020509
200,Skjervøy,70.0311,20.9714,30.2,64,75,18.77,NO,1613020509
201,Båtsfjord,70.6345,29.7185,19.4,68,75,14.97,NO,1613020510
202,Port Lincoln,-34.7333,135.8667,72.55,64,100,11.23,AU,1613020510
203,Codrington,-38.2667,141.9667,95.49,21,99,21.52,AU,1613020327
204,Port Augusta,-32.5,137.7667,104.0,11,98,24.16,AU,1613020511
205,Kununurra,-15.7667,128.7333,93.2,62,94,12.66,AU,1613020511
206,Klaeng,12.7797,101.6483,91.99,44,25,4.72,TH,1613020512
207,Pochutla,15.7432,-96.4661,73.99,81,0,4.0,MX,1613020512
208,Östersund,63.1792,14.6357,0.0,85,0,5.75,SE,1613020512
209,Upernavik,72.7868,-56.1549,-1.79,90,86,11.79,GL,1613020512
210,Lundazi,-12.2929,33.1782,67.35,94,100,2.15,ZM,1613020513
211,Zhireken,52.8249,117.3076,13.86,94,100,12.66,RU,1613020513
212,Darłowo,54.421,16.4107,24.01,81,97,15.95,PL,1613020513
213,Nishihara,26.1842,127.7558,64.4,77,90,24.16,JP,1613020513
214,Salantai,56.0667,21.5667,3.2,85,75,2.3,LT,1613020514
215,Qaanaaq,77.484,-69.3632,5.86,77,66,11.36,GL,1613020323
216,Kahului,20.8947,-156.47,73.4,56,75,11.5,US,1613020354
217,Kapaa,22.0752,-159.319,71.6,60,75,6.91,US,1613020295
218,Adrar,20.5022,-10.0711,60.37,25,0,9.86,MR,1613020514
219,Santa Maria,-29.6842,-53.8069,66.36,94,92,4.16,BR,1613020515
220,Waipawa,-41.4122,175.5153,66.2,59,3,28.77,NZ,1613020328
221,Sicuani,-14.2694,-71.2261,44.47,82,100,2.35,PE,1613020515
222,Ketchikan,55.3422,-131.6461,23.0,53,1,3.44,US,1613020516
223,Shimoda,34.6667,138.95,55.4,38,20,6.91,JP,1613020516
224,Baní,18.2833,-70.3333,73.0,85,17,5.01,DO,1613020516
225,Zhigansk,66.7697,123.3711,-10.52,87,100,5.88,RU,1613020292
226,Kaohsiung City,22.6163,120.3133,78.8,61,20,12.66,TW,1613020517
227,Krasnovishersk,60.4078,57.082,-21.44,86,100,1.88,RU,1613020235
228,Birin,26.8865,88.0718,61.68,45,0,5.97,NP,1613020518
229,Jiujiang,29.7333,115.9833,53.96,85,100,8.32,CN,1613020519
230,Nadym,65.5333,72.5167,-19.93,86,100,15.32,RU,1613020404
231,Fortuna,40.5982,-124.1573,44.01,100,1,3.24,US,1613020519
232,Chilca,-12.5211,-76.7372,75.99,69,0,6.91,PE,1613020519
233,Springdale,36.1867,-94.1288,21.0,100,90,10.36,US,1613020520
234,Tigil',57.8,158.6667,20.25,94,42,9.17,RU,1613020521
235,Hotton,50.2667,5.45,19.4,86,0,4.61,BE,1613020521
236,Necochea,-38.5473,-58.7368,60.01,95,0,1.99,AR,1613020332
237,Kitimat,54.0524,-128.6534,5.0,56,1,24.16,CA,1613020419
238,Ust-Tsilma,65.441,52.1498,-13.05,89,92,3.65,RU,1613020521
239,Aldan,58.6031,125.3894,9.3,94,100,3.22,RU,1613020522
240,Mehamn,71.0357,27.8492,17.6,73,20,9.22,NO,1613020248
241,Talcahuano,-36.7167,-73.1167,59.0,100,90,3.44,CL,1613020469
242,Bambanglipuro,-7.95,110.2833,82.87,75,78,10.54,ID,1613020522
243,Epe,6.5841,3.9834,78.62,92,5,6.98,NG,1613020515
244,Mackay,-21.15,149.2,77.0,88,90,9.22,AU,1613020403
245,Monte Alegre de Minas,-18.8706,-48.8808,68.14,88,98,6.17,BR,1613020523
246,Hīt,33.6416,42.8251,56.75,59,0,13.96,IQ,1613020523
247,San Antonio,29.4241,-98.4936,43.0,100,90,12.66,US,1613020382
248,Geraldton,-28.7667,114.6,78.8,38,0,26.46,AU,1613020524
249,Roswell,34.0232,-84.3616,55.99,94,1,4.61,US,1613020302
250,Belmonte,-15.8631,-38.8828,71.6,94,0,3.44,BR,1613020443
251,San Jerónimo,-11.9472,-75.2829,47.52,76,100,0.45,PE,1613020525
252,Lake City,30.1897,-82.6393,61.0,100,90,1.41,US,1613020525
253,College,64.8569,-147.8028,3.0,78,75,1.5,US,1613020526
254,Banda Aceh,5.5577,95.3222,85.98,63,22,3.65,ID,1613020526
255,Bathsheba,13.2167,-59.5167,76.44,77,10,18.34,BB,1613020527
256,Polunochnoye,60.8697,60.4153,-20.49,85,11,2.1,RU,1613020527
257,Bezhanitsy,56.9767,29.8907,6.4,95,100,5.37,RU,1613020527
258,Dhidhdhoo,6.8833,73.1,81.95,63,34,7.29,MV,1613020527
259,Cidreira,-30.1811,-50.2056,73.06,84,37,13.02,BR,1613020347
260,Launceston,-41.45,147.1667,73.4,46,99,19.57,AU,1613020528
261,Puerto del Rosario,28.5004,-13.8627,64.4,77,90,4.61,ES,1613020310
262,Ilhabela,-23.7781,-45.3581,72.79,82,14,3.47,BR,1613020529
263,Mīnāb,27.1467,57.0801,60.8,51,0,4.61,IR,1613020297
264,Portland,45.5234,-122.6762,42.01,65,75,4.61,US,1613020508
265,Caucayá,-0.1934,-74.7819,76.53,75,82,2.73,CO,1613020529
266,Nipawin,53.3668,-104.0009,-25.6,75,1,5.75,CA,1613020530
267,Prince Albert,53.2001,-105.7677,-31.0,75,1,5.75,CA,1613020476
268,Olot,42.181,2.4901,42.01,72,83,1.99,ES,1613020531
269,Saldanha,-33.0117,17.9442,60.8,82,0,3.44,ZA,1613020531
270,Yeniseysk,58.4497,92.1703,-6.2,86,100,7.92,RU,1613020532
271,Avera,33.194,-82.5271,61.0,97,90,3.02,US,1613020532
272,Erenhot,43.6475,111.9767,35.26,82,11,22.44,CN,1613020532
273,Raudeberg,61.9875,5.1352,24.01,58,0,8.97,NO,1613020533
274,Sahuaripa,29.05,-109.2333,57.76,40,1,4.54,MX,1613020533
275,Bethanien,-26.502,17.1583,72.9,55,43,5.26,NA,1613020533
276,Elizabeth City,36.2946,-76.2511,43.0,87,90,4.45,US,1613020236
277,Tsaratanana,-16.7833,47.65,72.54,81,100,4.74,MG,1613020534
278,Envira,-7.3,-70.2167,73.24,97,100,1.41,BR,1613020272
279,Boden,65.8252,21.6886,-0.4,92,0,3.18,SE,1613020534
280,Malakal,9.5334,31.6605,71.85,22,79,6.82,SS,1613020534
281,Baghmara,23.795,86.2085,77.99,29,62,2.46,IN,1613020535
282,San Cristobal,7.7669,-72.225,65.1,88,52,2.08,VE,1613020535
283,Nokaneng,-19.6667,22.2667,66.0,94,100,5.39,BW,1613020535
284,Billings Metropolitan Area,45.7833,-108.5007,-8.0,70,90,14.97,US,1613020348
285,Vao,-22.6667,167.4833,76.77,81,0,14.61,NC,1613020536
286,Namatanai,-3.6667,152.4333,81.25,80,80,7.38,PG,1613020323
287,Tuatapere,-46.1333,167.6833,52.7,78,99,13.02,NZ,1613020537
288,Port Blair,11.6667,92.75,82.04,54,97,11.12,IN,1613020374
289,Goderich,43.7501,-81.7165,19.4,73,100,4.61,CA,1613020537
290,Glencoe,-28.1783,30.147,63.01,90,99,0.34,ZA,1613020538
291,Pevek,69.7008,170.3133,-18.18,71,0,1.1,RU,1613020538
292,Bolgatanga,10.7856,-0.8514,72.66,18,8,7.07,GH,1613020539
293,Tazovsky,67.4667,78.7,-29.4,85,100,4.41,RU,1613020539
294,Tessalit,20.1986,1.0114,63.91,22,4,9.84,ML,1613020540
295,Dutse,11.7594,9.3392,58.21,30,0,5.03,NG,1613020541
296,Kloulklubed,7.0419,134.2556,86.0,74,90,10.36,PW,1613020541
297,Caconda,-13.7333,15.0667,54.32,75,100,6.6,AO,1613020542
298,Véroia,40.5233,22.2036,52.0,78,60,4.59,GR,1613020542
299,Lüderitz,-26.6481,15.1594,66.87,77,42,7.31,NA,1613020543
300,Walvis Bay,-22.9575,14.5053,68.0,88,99,4.61,NA,1613020543
301,Lucerne,47.0505,8.3064,23.0,86,90,3.44,CH,1613020421
302,Kavieng,-2.5744,150.7967,81.81,79,66,8.68,PG,1613020353
303,Monterey,36.2505,-121.2516,43.0,82,0,5.01,US,1613020544
304,Bambous Virieux,-20.3428,57.7575,84.0,65,87,7.0,MU,1613020544
305,Kislyakovskaya,46.4417,39.675,44.28,94,100,9.55,RU,1613020544
306,Broken Hill,-31.95,141.4333,98.6,16,2,10.36,AU,1613020545
307,Capitán Bado,-23.2667,-55.5333,65.88,93,100,2.19,PY,1613020545
308,Polyarny,69.1989,33.4478,-7.6,77,40,2.24,RU,1613020545
309,Korla,41.7597,86.1469,40.91,58,96,6.38,CN,1613020310
310,Vanavara,60.34,102.2797,-2.34,89,71,4.94,RU,1613020546
311,Trairi,-3.2778,-39.2689,78.58,87,99,8.12,BR,1613020546
312,Arlit,18.7369,7.3853,65.05,23,1,5.01,NE,1613020546
313,Aswān,24.0934,32.907,63.77,35,49,9.6,EG,1613020546
314,Minsk,53.9,27.5667,6.8,92,75,4.47,BY,1613020546
315,Narsaq,60.9167,-46.05,33.8,27,20,31.07,GL,1613020547
316,Linxia Chengguanzhen,35.6003,103.2064,48.18,42,0,9.06,CN,1613020489
317,Oxford,51.7522,-1.256,24.01,93,20,4.61,GB,1613020389
318,Honningsvåg,70.9821,25.9704,24.8,80,40,14.97,NO,1613020547
319,Constitución,-35.3333,-72.4167,61.2,91,82,1.45,CL,1613020547
320,Clyde River,70.4692,-68.5914,5.0,92,0,44.87,CA,1613020547
321,Hoshcha,50.6003,26.6744,23.0,93,90,11.18,UA,1613020548
322,Tilichiki,60.4667,166.1,-11.49,89,38,11.36,RU,1613020368
323,Oistins,13.0667,-59.5333,76.5,77,7,19.06,BB,1613020329
324,Panama City,8.9936,-79.5197,77.0,83,90,10.36,PA,1613020296
325,Rawlins,41.7911,-107.2387,30.2,55,1,24.16,US,1613020549
326,San Ramon,37.7799,-121.978,50.0,81,1,4.61,US,1613020347
327,Hofn,64.2539,-15.2082,39.18,73,100,14.18,IS,1613020460
328,Dudinka,69.4058,86.1778,-18.56,81,0,2.98,RU,1613020549
329,Flinders,-34.5833,150.8552,82.0,60,0,4.0,AU,1613020481
330,Tanout,14.9709,8.8879,63.48,25,0,10.47,NE,1613020549
331,Cumana,10.4635,-64.1775,73.31,80,8,9.48,VE,1613020550
332,Ginda,30.6945,78.4932,61.83,23,0,5.12,IN,1613020550
333,Pontian Kecil,1.4801,103.3899,93.99,58,20,8.05,MY,1613020550
334,Sabang,5.8933,95.3214,83.25,70,1,8.5,ID,1613020550
335,Lorengau,-2.0226,147.2712,84.29,73,100,11.95,PG,1613020551
336,Los Llanos de Aridane,28.6585,-17.9182,60.8,72,0,8.05,ES,1613020551
337,Vardø,70.3705,31.1107,19.4,68,75,14.97,NO,1613020551
338,Abashiri,44.0213,144.2697,28.99,68,40,12.66,JP,1613020274
339,Gimli,50.6336,-96.9907,-20.2,76,85,3.44,CA,1613020552
340,Beyneu,45.3167,55.2,36.93,81,30,12.93,KZ,1613020552
341,Hūn,29.1268,15.9477,59.0,31,0,6.17,LY,1613020552
342,‘Āhuimanu,21.4447,-157.8378,73.4,60,75,8.05,US,1613020552
343,Tinos,37.5375,25.1634,60.01,82,40,17.27,GR,1613020552
344,Uruçuí,-7.2294,-44.5561,73.65,89,97,0.2,BR,1613020270
345,Flin Flon,54.7682,-101.865,-30.93,84,84,5.35,CA,1613020506
346,Flagstaff,35.1981,-111.6513,30.99,74,1,2.91,US,1613020553
347,Bac Lieu,9.285,105.7244,82.0,66,97,15.77,VN,1613020553
348,Vanimo,-2.6741,141.3028,82.78,81,84,10.63,PG,1613020553
349,Harper,4.375,-7.7169,78.37,88,55,6.42,LR,1613020486
350,Yima,34.7381,111.8839,55.8,40,23,3.02,CN,1613020554
351,Nouakchott,18.0858,-15.9785,68.0,34,84,11.5,MR,1613020554
352,Lovozero,68.005,35.0117,9.72,94,95,7.76,RU,1613020554
353,Faya,18.3851,42.4509,53.6,76,0,2.55,SA,1613020554
354,Ensley,30.5188,-87.2728,64.99,100,90,4.61,US,1613020351
355,Erzin,36.9559,36.2,53.01,84,31,10.0,TR,1613020555
356,Cockburn Town,21.4612,-71.1419,76.68,76,0,18.05,TC,1613020556
